Date,HomeTeam,AwayTeam,Season
02/01/2021,Brighton,Wolves,2020
02/01/2021,West Brom,Arsenal,2020
03/01/2021,Newcastle,Leicester,2020
03/01/2021,Chelsea,Man City,2020
04/01/2021,Southampton,Liverpool,2020
12/01/2021,Sheffield United,Newcastle,2020
12/01/2021,Burnley,Man United,2020
12/01/2021,Wolves,Everton,2020
13/01/2021,Man City,Brighton,2020
13/01/2021,Tottenham,Fulham,2020
14/01/2021,Arsenal,Crystal Palace,2020
16/01/2021,Wolves,West Brom,2020
16/01/2021,Leeds,Brighton,2020
16/01/2021,West Ham,Burnley,2020
16/01/2021,Fulham,Chelsea,2020
16/01/2021,Leicester,Southampton,2020
17/01/2021,Sheffield United,Tottenham,2020
17/01/2021,Liverpool,Man United,2020
17/01/2021,Man City,Crystal Palace,2020
18/01/2021,Arsenal,Newcastle,2020
19/01/2021,West Ham,West Brom,2020
19/01/2021,Leicester,Chelsea,2020
20/01/2021,Man City,Aston Villa,2020
20/01/2021,Fulham,Man United,2020
21/01/2021,Liverpool,Burnley,2020
23/01/2021,Aston Villa,Newcastle,2020
26/01/2021,Crystal Palace,West Ham,2020
26/01/2021,Newcastle,Leeds,2020
26/01/2021,Southampton,Arsenal,2020
26/01/2021,West Brom,Man City,2020
27/01/2021,Burnley,Aston Villa,2020
27/01/2021,Chelsea,Wolves,2020
27/01/2021,Brighton,Fulham,2020
27/01/2021,Everton,Leicester,2020
27/01/2021,Man United,Sheffield United,2020
28/01/2021,Tottenham,Liverpool,2020
30/01/2021,Everton,Newcastle,2020
30/01/2021,Crystal Palace,Wolves,2020
30/01/2021,Man City,Sheffield United,2020
30/01/2021,West Brom,Fulham,2020
30/01/2021,Arsenal,Man United,2020
30/01/2021,Southampton,Aston Villa,2020
31/01/2021,Chelsea,Burnley,2020
31/01/2021,Leicester,Leeds,2020
31/01/2021,West Ham,Liverpool,2020
31/01/2021,Brighton,Tottenham,2020
02/02/2021,Sheffield United,West Brom,2020
02/02/2021,Wolves,Arsenal,2020
02/02/2021,Man United,Southampton,2020
02/02/2021,Newcastle,Crystal Palace,2020
03/02/2021,Burnley,Man City,2020
03/02/2021,Fulham,Leicester,2020
03/02/2021,Leeds,Everton,2020
03/02/2021,Aston Villa,West Ham,2020
03/02/2021,Liverpool,Brighton,2020
04/02/2021,Tottenham,Chelsea,2020
06/02/2021,Aston Villa,Arsenal,2020
06/02/2021,Burnley,Brighton,2020
06/02/2021,Newcastle,Southampton,2020
06/02/2021,Fulham,West Ham,2020
06/02/2021,Man United,Everton,2020
07/02/2021,Tottenham,West Brom,2020
07/02/2021,Wolves,Leicester,2020
07/02/2021,Liverpool,Man City,2020
07/02/2021,Sheffield United,Chelsea,2020
08/02/2021,Leeds,Crystal Palace,2020
13/02/2021,Leicester,Liverpool,2020
13/02/2021,Crystal Palace,Burnley,2020
13/02/2021,Man City,Tottenham,2020
13/02/2021,Brighton,Aston Villa,2020
14/02/2021,Southampton,Wolves,2020
14/02/2021,West Brom,Man United,2020
14/02/2021,Arsenal,Leeds,2020
14/02/2021,Everton,Fulham,2020
15/02/2021,West Ham,Sheffield United,2020
15/02/2021,Chelsea,Newcastle,2020
17/02/2021,Burnley,Fulham,2020
17/02/2021,Everton,Man City,2020
19/02/2021,Wolves,Leeds,2020
20/02/2021,Southampton,Chelsea,2020
20/02/2021,Burnley,West Brom,2020
20/02/2021,Liverpool,Everton,2020
20/02/2021,Fulham,Sheffield United,2020
21/02/2021,West Ham,Tottenham,2020
21/02/2021,Aston Villa,Leicester,2020
21/02/2021,Arsenal,Man City,2020
21/02/2021,Man United,Newcastle,2020
22/02/2021,Brighton,Crystal Palace,2020
23/02/2021,Leeds,Southampton,2020
27/02/2021,Man City,West Ham,2020
27/02/2021,West Brom,Brighton,2020
27/02/2021,Leeds,Aston Villa,2020
27/02/2021,Newcastle,Wolves,2020
28/02/2021,Crystal Palace,Fulham,2020
28/02/2021,Leicester,Arsenal,2020
28/02/2021,Tottenham,Burnley,2020
28/02/2021,Chelsea,Man United,2020
28/02/2021,Sheffield United,Liverpool,2020
01/03/2021,Everton,Southampton,2020
02/03/2021,Man City,Wolves,2020
03/03/2021,Burnley,Leicester,2020
03/03/2021,Sheffield United,Aston Villa,2020
03/03/2021,Crystal Palace,Man United,2020
04/03/2021,Fulham,Tottenham,2020
04/03/2021,West Brom,Everton,2020
04/03/2021,Liverpool,Chelsea,2020
06/03/2021,Burnley,Arsenal,2020
06/03/2021,Sheffield United,Southampton,2020
06/03/2021,Aston Villa,Wolves,2020
06/03/2021,Brighton,Leicester,2020
07/03/2021,West Brom,Newcastle,2020
07/03/2021,Liverpool,Fulham,2020
07/03/2021,Man City,Man United,2020
07/03/2021,Tottenham,Crystal Palace,2020
08/03/2021,Chelsea,Everton,2020
08/03/2021,West Ham,Leeds,2020
10/03/2021,Man City,Southampton,2020
12/03/2021,Newcastle,Aston Villa,2020
13/03/2021,Leeds,Chelsea,2020
13/03/2021,Crystal Palace,West Brom,2020
13/03/2021,Everton,Burnley,2020
13/03/2021,Fulham,Man City,2020
14/03/2021,Southampton,Brighton,2020
14/03/2021,Leicester,Sheffield United,2020
14/03/2021,Arsenal,Tottenham,2020
14/03/2021,Man United,West Ham,2020
15/03/2021,Wolves,Liverpool,2020
19/03/2021,Fulham,Leeds,2020
20/03/2021,Brighton,Newcastle,2020
21/03/2021,West Ham,Arsenal,2020
21/03/2021,Aston Villa,Tottenham,2020
03/04/2021,Chelsea,West Brom,2020
03/04/2021,Leeds,Sheffield United,2020
03/04/2021,Leicester,Man City,2020
03/04/2021,Arsenal,Liverpool,2020
04/04/2021,Southampton,Burnley,2020
04/04/2021,Newcastle,Tottenham,2020
04/04/2021,Aston Villa,Fulham,2020
04/04/2021,Man United,Brighton,2020
05/04/2021,Everton,Crystal Palace,2020
05/04/2021,Wolves,West Ham,2020
09/04/2021,Fulham,Wolves,2020
10/04/2021,Man City,Leeds,2020
10/04/2021,Liverpool,Aston Villa,2020
10/04/2021,Crystal Palace,Chelsea,2020
11/04/2021,Burnley,Newcastle,2020
11/04/2021,West Ham,Leicester,2020
11/04/2021,Tottenham,Man United,2020
11/04/2021,Sheffield United,Arsenal,2020
12/04/2021,West Brom,Southampton,2020
12/04/2021,Brighton,Everton,2020
16/04/2021,Everton,Tottenham,2020
17/04/2021,Newcastle,West Ham,2020
17/04/2021,Wolves,Sheffield United,2020
18/04/2021,Arsenal,Fulham,2020
18/04/2021,Man United,Burnley,2020
19/04/2021,Leeds,Liverpool,2020
20/04/2021,Chelsea,Brighton,2020
21/04/2021,Tottenham,Southampton,2020
21/04/2021,Aston Villa,Man City,2020
22/04/2021,Leicester,West Brom,2020
23/04/2021,Arsenal,Everton,2020
24/04/2021,Liverpool,Newcastle,2020
24/04/2021,West Ham,Chelsea,2020
24/04/2021,Sheffield United,Brighton,2020
25/04/2021,Wolves,Burnley,2020
25/04/2021,Leeds,Man United,2020
25/04/2021,Aston Villa,West Brom,2020
26/04/2021,Leicester,Crystal Palace,2020
30/04/2021,Southampton,Leicester,2020
01/05/2021,Crystal Palace,Man City,2020
01/05/2021,Brighton,Leeds,2020
01/05/2021,Chelsea,Fulham,2020
01/05/2021,Everton,Aston Villa,2020
02/05/2021,Newcastle,Arsenal,2020
02/05/2021,Tottenham,Sheffield United,2020
03/05/2021,West Brom,Wolves,2020
03/05/2021,Burnley,West Ham,2020
07/05/2021,Leicester,Newcastle,2020
08/05/2021,Leeds,Tottenham,2020
08/05/2021,Sheffield United,Crystal Palace,2020
08/05/2021,Man City,Chelsea,2020
08/05/2021,Liverpool,Southampton,2020
09/05/2021,Wolves,Brighton,2020
09/05/2021,Aston Villa,Man United,2020
09/05/2021,West Ham,Everton,2020
09/05/2021,Arsenal,West Brom,2020
10/05/2021,Fulham,Burnley,2020
11/05/2021,Man United,Leicester,2020
11/05/2021,Southampton,Crystal Palace,2020
12/05/2021,Chelsea,Arsenal,2020
13/05/2021,Aston Villa,Everton,2020
13/05/2021,Man United,Liverpool,2020
14/05/2021,Newcastle,Man City,2020
15/05/2021,Burnley,Leeds,2020
15/05/2021,Southampton,Fulham,2020
15/05/2021,Brighton,West Ham,2020
16/05/2021,Crystal Palace,Aston Villa,2020
16/05/2021,Tottenham,Wolves,2020
16/05/2021,West Brom,Liverpool,2020
16/05/2021,Everton,Sheffield United,2020
18/05/2021,Man United,Fulham,2020
18/05/2021,Southampton,Leeds,2020
18/05/2021,Brighton,Man City,2020
18/05/2021,Chelsea,Leicester,2020
19/05/2021,Everton,Wolves,2020
19/05/2021,Newcastle,Sheffield United,2020
19/05/2021,Tottenham,Aston Villa,2020
19/05/2021,Crystal Palace,Arsenal,2020
19/05/2021,Burnley,Liverpool,2020
19/05/2021,West Brom,West Ham,2020
23/05/2021,Arsenal,Brighton,2020
23/05/2021,Aston Villa,Chelsea,2020
23/05/2021,Fulham,Newcastle,2020
23/05/2021,Leeds,West Brom,2020
23/05/2021,Leicester,Tottenham,2020
23/05/2021,Liverpool,Crystal Palace,2020
23/05/2021,Man City,Everton,2020
23/05/2021,Sheffield United,Burnley,2020
23/05/2021,West Ham,Southampton,2020
23/05/2021,Wolves,Man United,2020
