Date,HomeTeam,AwayTeam,Season
05/03/2022,Liverpool,West Ham,2021
06/03/2022,Watford,Arsenal,2021
06/03/2022,Man City,Man United,2021
07/03/2022,Tottenham,Everton,2021
10/03/2022,Norwich,Chelsea,2021
10/03/2022,Southampton,Newcastle,2021
10/03/2022,Wolves,Watford,2021
10/03/2022,Leeds,Aston Villa,2021
12/03/2022,Brighton,Liverpool,2021
12/03/2022,Brentford,Burnley,2021
12/03/2022,Man United,Tottenham,2021
13/03/2022,Chelsea,Newcastle,2021
13/03/2022,Everton,Wolves,2021
13/03/2022,Leeds,Norwich,2021
13/03/2022,Southampton,Watford,2021
13/03/2022,West Ham,Aston Villa,2021
13/03/2022,Arsenal,Leicester,2021
14/03/2022,Crystal Palace,Man City,2021
16/03/2022,Brighton,Tottenham,2021
16/03/2022,Arsenal,Liverpool,2021
17/03/2022,Everton,Newcastle,2021
18/03/2022,Wolves,Leeds,2021
19/03/2022,Aston Villa,Arsenal,2021
20/03/2022,Leicester,Brentford,2021
20/03/2022,Tottenham,West Ham,2021
02/04/2022,Liverpool,Watford,2021
02/04/2022,Brighton,Norwich,2021
02/04/2022,Burnley,Man City,2021
02/04/2022,Chelsea,Brentford,2021
02/04/2022,Leeds,Southampton,2021
02/04/2022,Wolves,Aston Villa,2021
02/04/2022,Man United,Leicester,2021
03/04/2022,West Ham,Everton,2021
03/04/2022,Tottenham,Newcastle,2021
04/04/2022,Crystal Palace,Arsenal,2021
06/04/2022,Burnley,Everton,2021
08/04/2022,Newcastle,Wolves,2021
09/04/2022,Everton,Man United,2021
09/04/2022,Arsenal,Brighton,2021
09/04/2022,Southampton,Chelsea,2021
09/04/2022,Watford,Leeds,2021
09/04/2022,Aston Villa,Tottenham,2021
10/04/2022,Brentford,West Ham,2021
10/04/2022,Leicester,Crystal Palace,2021
10/04/2022,Norwich,Burnley,2021
10/04/2022,Man City,Liverpool,2021
16/04/2022,Tottenham,Brighton,2021
16/04/2022,Man United,Norwich,2021
16/04/2022,Southampton,Arsenal,2021
16/04/2022,Watford,Brentford,2021
17/04/2022,Newcastle,Leicester,2021
17/04/2022,West Ham,Burnley,2021
19/04/2022,Liverpool,Man United,2021
20/04/2022,Chelsea,Arsenal,2021
20/04/2022,Everton,Leicester,2021
20/04/2022,Newcastle,Crystal Palace,2021
20/04/2022,Man City,Brighton,2021
21/04/2022,Burnley,Southampton,2021
23/04/2022,Arsenal,Man United,2021
23/04/2022,Leicester,Aston Villa,2021
23/04/2022,Man City,Watford,2021
23/04/2022,Norwich,Newcastle,2021
23/04/2022,Brentford,Tottenham,2021
24/04/2022,Brighton,Southampton,2021
24/04/2022,Burnley,Wolves,2021
24/04/2022,Chelsea,West Ham,2021
24/04/2022,Liverpool,Everton,2021
25/04/2022,Crystal Palace,Leeds,2021
28/04/2022,Man United,Chelsea,2021
30/04/2022,Newcastle,Liverpool,2021
30/04/2022,Aston Villa,Norwich,2021
30/04/2022,Southampton,Crystal Palace,2021
30/04/2022,Watford,Burnley,2021
30/04/2022,Wolves,Brighton,2021
30/04/2022,Leeds,Man City,2021
01/05/2022,Everton,Chelsea,2021
01/05/2022,Tottenham,Leicester,2021
01/05/2022,West Ham,Arsenal,2021
02/05/2022,Man United,Brentford,2021
07/05/2022,Brentford,Southampton,2021
07/05/2022,Burnley,Aston Villa,2021
07/05/2022,Chelsea,Wolves,2021
07/05/2022,Crystal Palace,Watford,2021
07/05/2022,Brighton,Man United,2021
07/05/2022,Liverpool,Tottenham,2021
08/05/2022,Arsenal,Leeds,2021
08/05/2022,Leicester,Everton,2021
08/05/2022,Norwich,West Ham,2021
08/05/2022,Man City,Newcastle,2021
10/05/2022,Aston Villa,Liverpool,2021
11/05/2022,Leeds,Chelsea,2021
11/05/2022,Leicester,Norwich,2021
11/05/2022,Watford,Everton,2021
11/05/2022,Wolves,Man City,2021
12/05/2022,Tottenham,Arsenal,2021
15/05/2022,Tottenham,Burnley,2021
15/05/2022,Aston Villa,Crystal Palace,2021
15/05/2022,Leeds,Brighton,2021
15/05/2022,Watford,Leicester,2021
15/05/2022,West Ham,Man City,2021
15/05/2022,Wolves,Norwich,2021
15/05/2022,Everton,Brentford,2021
16/05/2022,Newcastle,Arsenal,2021
17/05/2022,Southampton,Liverpool,2021
19/05/2022,Everton,Crystal Palace,2021
19/05/2022,Aston Villa,Burnley,2021
19/05/2022,Chelsea,Leicester,2021
22/05/2022,Arsenal,Everton,2021
22/05/2022,Brentford,Leeds,2021
22/05/2022,Brighton,West Ham,2021
22/05/2022,Burnley,Newcastle,2021
22/05/2022,Chelsea,Watford,2021
22/05/2022,Crystal Palace,Man United,2021
22/05/2022,Leicester,Southampton,2021
22/05/2022,Liverpool,Wolves,2021
22/05/2022,Man City,Aston Villa,2021
22/05/2022,Norwich,Tottenham,2021
